ident,latitude,longitude
PA053,-30.25710556,-51.52937778
FL002,-27.67581389,-48.52963056
OPLOX,-19.86066667,-41.03333333
PAPES,-14.49133889,-49.94889889
ANBIX,2.185166667,-60.62316667
REINA,-18.438,-45.57133333
ESNUX,-30.1975,-51.10316667
PCL06,-21.84301944,-46.57731944
BR004,-15.78283333,-48.142
LITOK,-22.28383056,-55.85834722
PO013,-26.06891944,-52.46217222
LI032,-22.68973333,-40.24741667
MORPI,-21.30555556,-49.89027778
JP362,-6.962194444,-35.13583333
SINAG,-22.82296222,-42.09648972
KOLBU,-23.22183333,-47.43383333
MNS07,-2.807544444,-60.15870278
JU016,-6.780333333,-39.15933333
CO018,-29.72939444,-51.47734722
KOLSU,-29.83508889,-51.81549444
ROKIR,-25.43803056,-52.97351389
DAGOV,-23.43733333,-45.63530556
NF131,-27.03828333,-48.912475
EDLUG,-10.08088333,-54.08944722
MASVO,-15.80888889,-53.32027778
URERA,-15.86958056,-48.02113611
BUXEB,-13.77347778,-55.39310833
RJ031,-22.88266667,-43.35433333
NM007,-28.39773611,-53.96089167
AT002,-9.956566667,-56.13629167
GR028,-23.44344167,-46.51730556
ISTEN,-30.26379722,-51.239225
FL981,-27.75406667,-48.86904167
MG136,-23.61414444,-52.22779444
UA001,-0.218777778,-67.04953333
OBDAR,-2.743691667,-67.45042778
ST016,-23.92720556,-46.14746111
VH009,-12.49531667,-60.14982222
PALMO,-14.28916667,-45.91333333
SP102,-23.72083889,-46.49272778
LI002,-22.57061667,-40.31294444
UDIGI,-19.17016389,-48.66564722
EVPUK,-15.19261667,-47.08007778
EDPUR,-22.51612222,-40.41420556
OREXO,-3.061686111,-60.39806944
RWY03,3.847583333,-51.79850833
PV386,-8.502666667,-64.00966667
ISURI,-6.212166667,-45.24266667
OGTID,-8.392586111,-39.80929722
ME007,-22.20987778,-41.67206389
OBKIN,-23.5456573,-45.339286
SI003,-11.74171944,-55.44231944
CC006,-9.370077778,-54.78861111
FN373,-3.864472222,-32.29319444
SIDAK,-19.63916667,-58.20783333
ESIGO,-19.70774167,-43.43888333
GAXAS,-25.40283333,-54.51133333
RB011,-9.674833333,-67.7665
CXI31,-22.90144722,-43.11844722
RELUL,-22.184325,-39.92626389
TCA76,-23.5723,-46.6935
LAUPO,-3.070666667,-59.45933333
IH008,-4.202686111,-55.97032778
ANGUG,-20.11591111,-40.19527778
ST007,-24.07999353,-46.09898508
NT389,-5.882861111,-35.421
SEVIL,-7.040666667,-35.84066667
TCA37,-16.3424,-47.3132
MIGIX,-29.00825,-51.64658056
VC007,-15.01240611,-40.76800436
PJ012,-10.25226111,-48.58898333
ATIDU,-22.61838333,-42.91883611
VUPSA,-23.11678611,-45.75165556
PMS13,-10.32090833,-48.31225278
MALEV,-7.151205556,-33.66581111
RJ319,-22.66431111,-43.60033889
GM001,-10.95703611,-65.24317778
MASGA,-23.09133333,-40.0955
UTKUP,-22.82133333,-43.11566667
VURIM,-4.830272222,-51.09646944
UMSAP,-16.580225,-49.30123889
ISONI,-21.65183333,-56.24283333
IZ006,-5.566913889,-47.65089167
SIRIK,-2.53665,-54.96729444
NEVLI,-2.190241667,-53.36576944
ADA01,-22.80393611,-42.08572778
LO208,-23.32931389,-51.22135
DOVBU,-29.78601389,-57.03658611
BG002,-31.32803611,-54.03609722
JH024,-23.44800833,-47.06543611
GEBUN,-26.57783333,-53.77933333
MOLTI,-16.388,-47.24283333
VG367,-21.34819444,-45.37447222
BUVAV,-15.86943333,-48.14364722
ILPUX,-20.39748331,-54.60450361
MAPVU,-13.40566667,-38.86283333
UMPIG,-23.2879269,-50.39022464
DIBUB,-15.87277844,-48.07165456
PRR06,-22.2103,-51.19254444
GU006,-25.50221667,-51.77687778
ML012,-22.108,-49.904
OREGI,-14.24369444,-58.97441944
KOVGI,-29.72272133,-51.32302294
TINGA,-24.80746389,-48.93426111
GL013,-22.76644167,-43.33311667
RJ079,-22.970725,-43.15993056
EVMIS,-8.991238889,-63.88695278
RF009,-7.923333333,-34.884
EGDOD,-10.95944498,-48.32065004
IRITU,-16.08073056,-47.88903056
UA012,0.045697222,-66.80918333
PC004,-21.81120556,-46.47860278
UL002,-19.1225,-48.331
CREMA,-20.07916667,-54.094
NF169,-26.9119,-48.70430556
ENSUG,-26.1164,-48.75335
ES021,-22.70881389,-41.98429444
MA004,-5.480833333,-49.274
PT012,-27.50470278,-50.160775
LOKUL,-23.03095,-43.05906944
ANGUB,-3.451258333,-49.56808056
MAPMO,-2.9377,-60.22821667
IT014,-18.27720278,-49.26765833
MOPNA,-29.54878056,-53.76424722
TB006,-1.566930556,-56.6419
EDVEP,-13.7759635,-58.90926009
UGSIS,-24.66927222,-50.59936111
JD003,-23.05533056,-46.96753889
CA002,-24.87618203,-53.63701644
SP103,-23.54139167,-46.05753611
EDURB,-21.75508697,-48.17054653
OCELO,-15.21816667,-46.118
VALAS,-8.5714,-52.36197222
