ident,latitude,longitude
LONES,-23.03051667,-45.92333333
LOBEM,-22.60959722,-43.59086389
SANPA,-23.208425,-46.54975278
CO012,-29.97788889,-51.04045
XOKIX,-23.14273889,-43.52021111
AE024,-22.34466667,-48.861
NIPDA,-19.65633333,-43.117
DAKOK,-6.068791667,-35.18019444
RJ311,-23.12222222,-43.33444444
MUGAB,-27.57293889,-48.50610278
UGAXO,-11.91283333,-63.91383333
EVLUK,-22.379,-40.58266667
VUGLA,-25.59061667,-53.048
BIVUR,-22.7985,-41.0125
KIBOT,-16.38471667,-55.898825
ELAKA,-27.70229167,-49.02958333
SP131,-23.63247222,-46.78139722
OGLIP,-10.39393056,-48.20638889
CH028,-27.08883131,-52.97337894
RJ704,-22.96408333,-43.13008611
LO108,-23.42228333,-50.86491389
IRISI,-29.95375556,-50.78235833
KP117,-22.65506944,-46.40499444
KONVI,-22.68467778,-46.17598333
OBGUV,-18.91175,-52.39899444
VUGUG,-24.28281667,-52.01254444
OBKIL,0.505,-70.03777778
ESGAS,-21.86976944,-48.18518611
JR012,-23.01253611,-43.37372778
ASBIG,-9.450589434,-40.47764167
DEVAV,-29.90667222,-51.27168889
PAMOV,-11.07105,-50.32613333
RJ942,-22.90784444,-43.12582778
PS027,-16.39114167,-38.90558889
EGDED,-26.88656389,-47.32653333
EDMIN,-18.67495556,-48.62069722
UG006,-29.66928333,-56.80949444
UMLOV,-13.66669167,-52.28402222
IH004,-4.451277778,-56.06251111
BOBAV,-4.134352778,-37.98649722
AKNOD,-9.766612611,-67.77754683
UKMIN,-29.98999167,-51.27884167
ROBAG,-20.71866389,-45.91586667
REGIL,-3.614386111,-44.67972778
QI011,2.048902778,-61.12746667
KIDEN,-11.58684722,-37.04188333
KIBEG,-8.128333333,-34.645
TAU02,-23.03514167,-45.51098333
ISTAV,-20.64865556,-54.71703889
SP067,-23.63746667,-47.04758889
MUPAT,0.753833333,-50.96516667
SP073,-23.28089167,-47.49713333
AURIS,-26.43885,-53.46590833
OBLAT,-19.9969693,-38.49564062
MUNEX,-16.91406389,-55.42519444
FS024,-22.00021111,-41.00423333
GUIMA,-9.273333333,-64.2735
AQ009,-21.85996553,-48.35379925
RF008,-7.954777778,-34.97980556
FS012,-21.94294444,-41.20442778
PO011,-26.03657778,-52.56210278
ISUPI,-3.364833333,-40.52233333
BR046,-15.97733333,-47.97169444
SN371,-2.393833333,-54.61783333
TB004,-1.446008333,-56.59230278
DIKET,-2.662116667,-44.29591667
JI026,-11.040175,-61.89331667
ABUCU,-4.586166667,-39.13466667
SL048,-2.807005556,-44.11539167
KG002,-7.111666667,-36.1215
PUPGA,-21.70172222,-48.71938889
MIDIV,-30.37425278,-51.81014722
VODSA,-15.6055,-31.93816667
IMBOX,-6.240008667,-50.18111578
TOLEP,-32.72797778,-53.08594444
JV302,-26.15255,-48.85165
ETIMO,-5.044833333,-22.47533333
GP029,-21.87121667,-48.40324444
IMBOG,-19.14096944,-41.71298333
PK007,-31.54433333,-52.07616667
MK008,-16.73783333,-43.5505
TT001,-4.216466667,-70.02027778
LOKIM,-11.33333333,-15
INTOL,-1.360833333,-32.8315
MG117,-23.43431667,-51.93338333
DO028,-22.16820278,-55.13696944
TIVRO,-23.33575833,-43.38524444
JU367,-7.310166667,-39.027
ZM003,-21.281,-43.05666667
NTL06,-5.907722222,-35.25565
PAPIP,-24.59666111,-50.68659722
EVTIK,-28.22272778,-52.26702778
UGOVU,-22.88056389,-47.57123056
SJ061,-23.17429444,-45.91698889
VT076,-20.17222222,-40.26388611
SIGEP,-3.2835,-59.0305
JE001,-2.83806925,-40.45360967
EN013,-22.6419,-40.65756944
QI001,1.759794444,-61.16575278
GV018,-18.72207194,-41.76573333
KP116,-22.62980556,-46.61303056
ME028,-22.38362222,-41.74570833
EPKIP,3.860144444,-51.80013056
BE401,-1.107,-48.45283333
VUPOM,-3.084444444,-60.45583333
ETETI,0.861483333,-57.15906389
UBLEV,-2.753136111,-44.20547222
BUMBA,-3.551166667,-65.76983333
GEDIS,-10.99605833,-37.24617222
IMBUL,-19.70420833,-43.89815278
EDVUK,-6.040421056,-50.2045745
ISIRI,-5.900416667,-35.33895556
EPDOD,-0.323516667,-66.57563333
OGRIX,-23.36435,-46.22530278
NM009,-28.49145,-53.84173611
MK002,-16.714,-43.7575
CX005,-29.16862778,-51.21921944
KIGUK,-5.829,-37.64983333
TCA71,0.045577778,-51.0543
CBO16,-9.321386111,-55.06056389
GEBIR,-22.13505515,-41.84749417
GV017,-18.83106944,-41.91598333
KOGVA,-11.00466667,-58.20066667
UTMUD,-28.46252778,-49.26423333
SIDOL,-19.0685,-44.34316667
ME036,-22.56778333,-41.80368333
OGMUX,-24.07673889,-50.46873056
MIDED,-20.63955556,-54.57353056
NUXOD,-5.740111111,-49.17866944
TA004,-23.14742222,-45.571725
CBO19,-9.334925,-54.95338889
EDNOS,-0.391775,-59.07593889
ARUSA,-19.66418889,-51.64970278
UKEDI,6.588333333,-37.07666667
ESILO,-22.50694444,-49.39055556
TC011,-15.18985,-39.12041389
NF119,-26.95052778,-48.73605556
RAIRA,-15.63,-39.09916667
AG016,-23.08716389,-44.47271944
UGTAK,-14.90609722,-46.221275
VT061,-20.15738333,-40.22065278
LON01,-23.17720556,-51.15609167
NIMPI,-5.643,-35.527
SP127,-23.70356944,-46.66783611
UTNEB,-9.477541667,-35.96905
CA011,-25.05306567,-53.28749731
VJK06,-15.75067778,-47.82599722
TONIR,-29.07856944,-50.63986667
KOKBO,-6.3045,-44.79666667
BUTEP,-28.22267222,-49.461025
SM012,-29.6231955,-53.43803806
ORIMU,-23.26391667,-45.99050278
SMA38,-29.69986389,-53.90371667
OPSIV,-29.37711667,-51.02376944
ASBAK,-22.80357778,-47.21290556
CIA01,-15.64316111,-56.12053889
SO006,-12.33938056,-55.48653611
UKMAT,-7.893333333,-35.5695
ME011,-22.22426111,-41.74668889
DIDOM,-25.29833333,-53.18516667
UL001,-19.04066667,-48.4025
FS018,-22.08583611,-41.03189444
PJ013,-9.9213,-48.62096944
TEPOG,-0.98263956,-47.94600625
ESDEP,-10.98900833,-37.1618
PJ028,-10.34403611,-48.27701944
SN362,-2.549833333,-54.9865
VC004,-14.80327017,-41.06138569
UDILO,-2.962166667,-59.46266667
GEPMA,-27.20716944,-50.76831667
UKBEV,-22.55130367,-47.07678722
KP136,-23.33920278,-47.33505556
BE367,-1.505166667,-48.60383333
JA007,-28.45756389,-48.8946
ETIKO,-23.38410278,-46.28499444
UCR01,-4.887277778,-65.36094722
KUBID,-3.067666667,-59.21766667
TURAB,-12.43316667,-26.75033333
GUTIL,-16.74216667,-48.299
ANLED,-15.41900556,-56.19719722
GL041,-22.91220944,-43.68974536
CR014,-19.03575,-57.76226389
GAVUS,0.278252778,-67.13413333
NUXOL,-10.41271389,-48.11906944
ARMIP,-23.0507777,-47.57355116
BOGIG,-25.55013056,-49.67184722
ESNER,-6.314,-48.41266667
NUXIG,-19.9575,-39.65277778
VURIP,-9.944227778,-68.01040833
SVD47,-13.00383889,-38.63088889
LIBEC,-11.29083333,-48.299
PUGSA,1.08,-29.26933333
PAMOT,-10.1615,-55.72559444
ASUXO,-8.537666667,-33.37583333
YS013,-21.80777328,-47.34183417
BG004,-31.21232778,-53.89584444
KP122,-22.89756667,-47.0814
JH017,-23.34044722,-47.36185
VJK17,-15.88090556,-48.21085556
BQ024,-21.43464444,-43.70505278
LODEK,-10.90263415,-48.08814768
DO001,-22.26933333,-54.9855
DANRO,-16.53232778,-49.37238056
UMLUR,-20.40111111,-40.39333333
VUNIX,-22.39285833,-51.46306111
GNV16,-16.79031389,-49.42038056
BG007,-31.51065556,-54.25854167
MUBAV,-2.854222222,-60.11142222
RJ119,-22.86533889,-43.08219722
SP603,-23.45255,-46.96310278
PP003,-22.55971867,-55.53402106
ENPEG,-21.76095556,-49.00503056
ILSOS,-5.753666667,-47.39666667
OGNON,-1.784011111,-44.833925
RJ905,-22.88918333,-43.18729167
UTPEX,-17.58386667,-54.82020278
JH011,-23.51836389,-47.22496389
NEKAK,-4.734636111,-65.85695833
DO003,-22.39883333,-55.09916667
LO137,-23.351,-51.37683333
AE014,-21.93,-49.079
ANLOL,2.874666667,-60.63466667
SP046,-23.70236928,-46.60153511
OPROM,-18.75388889,-47.21275
PF004,-28.07944444,-52.14745
IC001,-19.46386389,-44.12540833
AN007,-16.11827778,-48.74644444
DALED,-3.688,-42.08416667
SR369,-20.62875,-49.28991667
UGROK,-22.53349722,-43.26609444
TT003,-4.098211111,-70.07605556
NTL07,-5.907844444,-35.255675
NAXEG,-29.71863611,-53.58061944
MASPI,-22.68366667,-40.80983333
TE369,-4.783611111,-42.85263889
CZ016,-7.603166667,-72.70833333
GR218,-23.09328889,-46.01698889
TCA77,-29.0923,-50.0454
UBKEB,-20.36822222,-43.48223889
ISVOM,-15.8235,-54.01766667
PANET,-29.95533333,-50.58933333
PP211,-22.46256667,-55.66828611
DEXEM,-0.447327778,-66.28245
ESLEL,0.930166667,-40.78216667
ASUGI,0.799833333,-59.342
SP098,-23.64411111,-46.77335278
GL034,-22.52862222,-42.62249722
AC001,-4.561811111,-38.02306111
ASANU,-3.829666667,-21.1725
CA003,-24.80534547,-53.55917572
MOPKA,-22.76549722,-51.70089167
ISOXO,-23.431175,-45.99636667
GNV14,-16.89183889,-49.21433056
ASELU,-9.859002778,-47.86116944
UTMUR,-24.28125,-46.18853611
AKTES,-7.2395,-39.21533333
RIOJA,-22.10083611,-48.64339444
PC009,-21.87637222,-46.35733333
AT013,-9.617041667,-56.02343611
LO021,-23.502,-51.26483333
PO009,-26.11721111,-52.537725
EDPOR,-10.41050278,-65.03078056
UKBIX,-27.78241389,-50.27650833
KOSLO,-12.09696111,-37.35335556
KOVOR,-20.54053889,-54.74206667
UY009,-4.946094444,-65.16541944
VC008,-14.96296111,-40.83746667
IP017,-19.24634722,-42.34912222
GL048,-22.53489558,-43.39178442
SGA11,-5.773033333,-35.35334722
SN363,-2.363333333,-55.01666667
PADUM,-8.938166667,-40.40633333
DUBRO,-18.88129167,-43.52690833
ISAKA,-15.919,-47.80133333
IRODU,-15.92185278,-55.97353056
PANOP,-19.722,-48.73583333
USAGU,-9.542747222,-53.47075556
ATOGU,-6.649883333,-50.19471111
UGINO,-26.46706389,-48.70581111
BQ026,-21.354825,-43.73170556
JP369,-7.092425,-35.14815833
EDSUN,-5.504458333,-64.06826389
AKSEB,-26.101875,-48.45898611
FNR11,-3.847805556,-32.46209444
GEMGI,-29.98833333,-51.47083333
ITAVO,-23.47839167,-46.40097778
CB006,-22.94133333,-42.17216667
GEBEP,-17.48938889,-47.41256667
ES014,-22.91689167,-42.201025
LUSUK,-3.088666667,-60.78933333
DIKOT,-19.4795,-44.13316667
MATMO,-12.81818333,-54.83382222
MIBIS,-15.86515,-47.70029167
SVD48,-12.93234444,-38.64532778
ILSIR,-19.82644444,-54.86827778
KONKU,-28.28347222,-52.29931389
AX362,-19.6865,-46.82816667
UKBEB,-17.37295,-51.29654444
ME042,-22.221975,-41.55919722
VALAP,-18.21053889,-48.15273333
RJ308,-23.03189444,-43.69970556
PVH12,-8.756191667,-63.89946111
PUPER,-29.29476389,-50.70468611
SMA07,-29.71228611,-53.67604167
OPMAN,-23.6085,-49.16374167
UL003,-19.11333333,-48.21933333
ISKOL,-13.06868889,-58.21560833
TEKIT,-2.541291667,-44.19849444
NACRE,-29.91583333,-51.927
KAKEN,-21.83797222,-47.46371111
SIKEL,-6.953333333,-35.39333333
MNS03,-2.844886111,-59.891625
ASEGI,-23.28138611,-46.62041667
MUGED,-3.315286111,-63.72036111
GR282,-23.14372222,-46.15439444
FN364,-3.838277778,-32.63394444
OPKIL,-18.19995,-48.90621111
SV021,-12.84781944,-38.06916389
ISVES,-25.26972222,-48.82426111
MORVU,-6.903669444,-39.49164444
VULMI,-23.16804167,-46.97610833
OGPON,-26.34378333,-48.62981111
ORALA,-4.064016667,-69.83579444
KONSA,-21.81134444,-39.93606944
BU019,-22.52337222,-48.99175
JH021,-23.54456111,-47.11825556
ARUKO,-3.765666667,-69.851
RJ705,-22.93142778,-43.14519444
FL907,-27.69510278,-48.49666389
MNS09,-2.811255556,-60.40409444
EDNAG,-25.26566944,-47.647275
SO004,-12.24978611,-55.65551667
EDSEX,3.138671324,-61.49016518
IT017,-18.19726667,-49.29341667
DOLDU,-3.277,-60.39816667
MI001,-22.81683611,-42.72601389
ELAMO,-28.1005,-55.45216667
LO107,-23.33141944,-51.13663889
NEDES,-16.04909697,-47.52590911
GNV08,-16.56034722,-49.53012778
BV013,2.859327778,-60.45769444
SIPEP,-9.219847222,-35.51177778
CZ006,-7.595166667,-72.86416667
SP138,-23.60554444,-46.73555833
BI048,-25.40360556,-48.78435833
ESDAG,-11.61233333,-56.83766667
KOSRU,-22.439025,-43.96008333
VUMEX,-2.729333333,-54.84133333
PUPMA,-4.977102778,-42.59522778
RJ803,-22.93266111,-43.19395
ASBUS,-27.51031944,-48.43770833
TC004,-15.44620833,-38.98877778
GR287,-23.23295556,-46.69126111
IVSUT,-20.704,-46.33783333
ORIVA,-6.130425,-50.10976111
MK022,-16.69366667,-43.93338889
VT066,-20.29925556,-40.27355278
TE009,-5.004969444,-42.82765556
CIA04,-15.83618889,-56.01921389
SIRAP,-20.62271389,-42.00766944
IBDOS,-29.979,-53.8175
JV301,-26.07120556,-48.8263
SJ046,-23.35475278,-45.7252
BG012,-31.45028889,-54.32588333
CF009,-19.22018611,-44.49156389
ITAVI,-19.13119167,-44.01369444
UGETU,-20.06833333,-43.34
TUVAM,-27.16383333,-48.21583333
RJ032,-22.88566667,-43.26416667
GR202,-23.45160833,-46.66559722
SINEK,-19.53616944,-43.74161667
JP364,-7.021638889,-35.07677778
DAKAP,0,-39
BUTRI,-4.6545,-46.36833333
FN367,-3.851083333,-32.46769444
BH023,-20.17716667,-43.6865
ANPIB,-23.19086389,-49.16290833
JU369,-7.204666667,-39.04
XXX01,-6.051386111,-35.22638056
KP163,-22.79793889,-46.96701111
TCA59,-23.5815,-46.6878
ERUGU,-4.4877,-38.62301667
TT016,-4.413263889,-69.79555556
ANPAX,-15.58426944,-47.71819444
ALR02,-2.368613889,-44.38551944
DADRO,-20.55683333,-40.147
AR371,-10.98725,-36.97563889
VUDEK,-20.06564722,-53.23151389
GL371,-23.21888889,-43.49138889
MOTBO,-15.66843574,-41.16693271
TCA39,-20.0983,-40.1978
UY019,-4.920633333,-65.52445556
GIGNO,-29.49893056,-50.47017778
UMLEB,-8.637435231,-57.77800112
SVD29,-13.59047778,-38.57705833
SM002,-29.60416667,-53.9275
ANBIV,-29.716375,-51.37998333
BR056,-15.77277778,-47.98580556
VUMON,-10.45525556,-50.65848056
TERER,-25.04509444,-51.00444722
RATEP,-5.696,-35.88316667
UKARU,-15.44466944,-38.396325
EDPIM,-2.412666667,-54.73283333
AKSUL,-22.47763178,-55.74561756
CC002,-9.214452778,-55.15403333
IMBIR,-16.709425,-49.40693056
BUTKI,-27.55468889,-49.37098611
CXS07,-29.11499167,-51.14931944
GEDES,-10.25753333,-48.408775
TOSEG,-15.88619444,-48.02625
GR222,-23.37291944,-46.31615556
AX371,-19.43888889,-47.09169444
CR016,-19.03576389,-57.76226667
PV001,-8.5372,-64.01365556
EVPUL,-11.79924831,-55.68631228
KUBEX,-19.93193333,-43.72327222
GP008,-21.86569444,-48.40334444
BV012,2.973477778,-60.44168889
LOLER,4.701666667,-60.85483333
KOMGU,-23.56524722,-46.82795556
NIGMU,-29.36438333,-50.920525
GM007,-10.53431111,-65.34631944
VUMIK,-20.81316667,-49.40616667
EGBID,-26.86392222,-48.42699167
JV083,-26.34987222,-48.62378611
EDVUL,-22.12944444,-48.99182778
MOTGI,-26.94552778,-53.16631944
ARMUK,-13.52180767,-61.53676158
JA011,-28.56721944,-48.86418611
TOPOK,-10.06793333,-67.85151667
MUNAK,-3.169166667,-60.07966667
BH011,-19.27866667,-43.92133333
EG012,-3.006733333,-59.6242
TB009,-1.533355556,-56.20125833
COANI,-25.23516667,-53.60733333
DORGU,-25.62839722,-54.24111111
VUNOX,-22.31790278,-46.21324167
VUNEG,-27.61719167,-54.26284444
ANLIV,-25.408625,-49.31805278
MN021,-3.030455556,-59.57621111
CZ004,-7.590833333,-72.948
COA01,-29.94381111,-51.15883333
TCA47,-23.1654,-45.8492
RODUP,-30.68183056,-52.47131667
AN016,-16.15036331,-48.89919428
AC271,-4.427288889,-37.63871667
UKMEM,-27.01006944,-53.45936667
RJ706,-22.987225,-43.12655278
VH013,-12.60219167,-60.07314167
CR004,-18.96433333,-57.4945
UA009,-0.048077778,-66.78845833
MUGIB,-3.187552778,-60.70483056
DIMUK,0.079166667,-64.43916667
SORSA,-24.66527778,-40.95916667
AQ018,-21.96139167,-48.03478611
DAKVU,-16.911,-48.986
DILOX,-12.871075,-38.11410278
XIXIT,-15.86875833,-49.14678333
VT032,-20.35358611,-40.47517361
SM017,-29.88670797,-53.49952922
OPSET,-25.07476944,-49.09401944
UBNIV,-3.977705556,-38.37739444
VUNAT,-24.90105278,-50.32020833
EQUAL,-13.75666667,-56.10966667
GL071,-22.78985278,-43.62665833
RJ006,-22.92153056,-43.16211389
PL027,-9.350894444,-40.60291111
ANDOD,-19.77913279,-39.77964149
KIGES,-23.06562222,-47.73270556
RODIT,-4.676333333,-39.02783333
SISAT,-29.79425833,-50.80836389
GIMSO,-25.11288056,-49.39221944
KP154,-23.45803056,-46.38308056
PVH13,-8.756255556,-63.90016944
KIDOK,-22.06737778,-47.33181111
ISOMO,-20.38083333,-54.5845
BE028,-1.640858333,-48.49854167
NT376,-5.811611111,-35.45572222
NIGRA,-21.06133333,-49.094
PULIX,-22.90697778,-41.116175
ST012,-24.10161944,-47.02670556
AG003,-22.95977222,-44.39086667
PCL05,-21.86503611,-46.63527222
GRD03,-20.45635556,-54.80965278
MIKOG,-30.13694444,-51.28683333
MINOD,-22.24283333,-40.56983333
PUPVU,-14.42861111,-39.93388889
BR042,-15.76502778,-47.86502778
FIG08,-29.98189722,-51.3605
JH026,-23.43129167,-47.10135278
ATABO,-7.318666667,-47.45483333
LON07,-23.3497,-50.93175556
ALGUB,-9.098736111,-62.93545556
UGSOP,-26.24943056,-52.74522778
TCA33,-23.4988,-46.7493
TCA10,-22.5504,-48.3724
SP124,-23.730525,-46.71378889
LUIZA,-1.98,-48.78416667
EKABI,-22.79243989,-43.64770664
EPGAV,-25.28566667,-49.11566667
ILPOB,-26.63761111,-48.84626111
ALGOX,-19.67101944,-44.79310556
AU006,-21.372,-50.44416667
VUMBI,-22.60605556,-43.80590278
LO003,-23.54266667,-51.1435
GP018,-21.74665,-48.44927222
TORUX,-19.27733333,-44.14966667
GELAM,-19.40388889,-36.00638889
DEKON,5.216666667,-31.63166667
CT042,-25.52,-49.47483333
AKTUG,-27.21270556,-50.56174722
AT012,-9.693980556,-55.96550278
ISMEK,-19.18659722,-43.82414167
PUNEN,-1.449833333,-49.141
PK001,-31.88966667,-52.5805
ALBOK,-23.17770556,-46.95230833
JP002,-7.204580556,-34.75305833
UBSUS,-17.03833333,-49.769
GO036,-16.61486944,-49.02208056
JI027,-10.62053889,-61.77799167
ANSAG,-10.87565833,-65.26305556
CH020,-27.08093056,-52.69775278
VUREB,-9.469188889,-52.87871667
SI008,-12.05391111,-55.63181111
UBSIK,-30.14466111,-52.17213056
SUSKI,-29.77717169,-52.19496442
BE391,-1.207166667,-48.46233333
ISNAP,-23.46003333,-46.57813889
LO138,-23.31885,-51.17408056
ME001,-22.39224167,-41.80086944
HT007,-3.441416667,-52.36661389
ARVEV,-22.89472222,-40.20166667
NT384,-5.985194444,-35.19338889
GEKOP,-9.774666667,-56.08107222
EDRUP,-9.709528222,-67.88709247
CW008,-2.426158333,-44.56662778
LJ007,-27.98299722,-50.27245
GR277,-22.84013333,-46.30564444
ILMIS,-24.68009288,-53.05757307
GNV22,-16.640325,-49.21236944
KP169,-23.25221944,-47.19739722
PALEL,-29.46811389,-51.18073056
UKEVI,-20.44795,-54.36166111
NIRMU,-3.038244444,-60.20519444
ISRIK,-19.15523611,-47.1487
TE372,-4.966833333,-42.83347222
DENDE,-15.28733333,-39.522
UMKUR,-26.74941944,-50.82993056
MUDSA,-18.5195,-38.73266667
ESUBU,-25.584575,-54.31918333
ILVUS,-9.362983333,-40.56128611
OPKUD,-1.037172513,-47.90938339
TOSOT,-25.51768611,-49.07118889
KUKIN,-8.880869444,-63.89069167
UDORI,-2.422686111,-44.25728611
DEMIT,-7.236333333,-59.65733333
ST019,-23.99516944,-46.47543611
LOKIV,-30.37333333,-52.28728056
DORDU,-17.46436667,-41.99815556
ESORU,-23.030825,-44.67651389
GV014,-18.71166944,-41.79289167
CF039,-19.57770833,-43.87964444
GV002,-19.02056667,-42.11231667
MOSTI,-18.72783333,-43.14333333
AT011,-9.696555556,-56.04984444
REGAM,-0.872611111,-43.84235556
BUTAP,-0.263833333,-27.137
GR226,-23.37465833,-46.39900278
VODIK,-2.630166667,-54.183
SL041,-2.790461111,-44.27074722
ILPIR,-19.31061667,-43.44706111
AKVAB,-23.48073333,-52.03584167
PF006,-28.14885278,-52.05661389
SJ053,-23.99222222,-45.83153611
EKOLI,-3.038658333,-60.22845
IH001,-4.314238889,-56.05613056
ZM032,-21.57033333,-43.25466667
GM012,-10.66426944,-65.16927778
VUKEM,-21.16491008,-45.29882397
DO006,-22.30116667,-55.14416667
TCA73,-23.5693,-46.6922
SEMGI,-22.96783333,-46.1935
AKPIL,-21.32998333,-47.27085556
UY001,-4.854833333,-65.21916667
GAVEB,-21.13766667,-54.64933333
OBDUV,-16.8757,-41.93870278
IVPEK,-23.02403631,-47.46252769
CB033,-22.90710556,-42.00337222
KUBTI,-3.548397222,-46.75867778
KOGBU,-12.53966667,-38.7735
OBGOV,-9.723763889,-48.005125
MIGEG,-14.997875,-56.23890556
ROTAM,-1.681,-49.07566667
PUPOG,-28.58530833,-50.900275
ERVAN,-12.52566389,-51.40550833
KOXAD,-0.082016667,-66.91729722
KP124,-23.06081111,-46.97398611
VJK23,-15.87681111,-47.94071111
AC274,-4.511022222,-37.63982222
IRIMU,0.328733333,-67.11562222
IMBEV,-15.62761111,-44.09561111
IBDIV,-20.15833333,-41.20833333
EVTOB,-21.50415452,-46.79507251
PUDNI,-26.75361944,-48.98162222
ALBOL,-28.823575,-51.21152222
TCA43,-22.8937,-47.1146
KIMUV,-27.67415077,-50.47810065
GP001,-21.996375,-48.28911389
MG124,-23.48857222,-52.07956944
PALEP,-11.89317778,-56.19950556
GW021,-22.72614722,-45.18202778
TT017,-4.277908333,-69.70167778
TS003,2.262955556,-55.68675833
ATEBU,-20.37163611,-40.0466
GU009,-25.27399322,-51.27029253
PAMEG,-22.66243424,-41.51077804
ESKEK,-26.63722778,-45.68471667
KAGOT,-12.86666389,-38.11493611
EN014,-22.68404722,-40.62203611
VULTO,-21.25933333,-50.91916667
TAU08,-23.04129722,-45.51970278
GEDOR,-6.287880556,-35.24134444
LB006,-22.04825833,-40.17506944
USEXA,-26.77471667,-53.63324167
ATF01,-9.877436111,-56.10884167
PK009,-31.51216667,-52.205
SL044,-2.727163889,-44.34836667
PV384,-8.431,-63.919
BQ008,-21.0496,-43.74564722
OROBI,-25.58105278,-51.02058056
DANBU,-5.358883333,-37.50999722
APINO,-14.96183333,-45.20783333
MI008,-22.93485833,-42.69970278
SM004,-29.70033333,-53.89483333
TONUN,-15.70117222,-47.79390556
GENVO,-3.619044444,-44.52455278
REKUK,-27.43759167,-50.45754444
GW019,-22.68832778,-45.14649444
GUTUL,-3.867794444,-47.10821389
GR209,-23.55780556,-46.26876667
DUBVO,-9.785693444,-67.76319825
SP128,-23.70853056,-46.61362222
PK004,-31.82716667,-52.48883333
CA008,-25.06498889,-53.43028056
SN011,-2.425475,-54.81167778
SP079,-23.61346667,-46.86500278
ARVIB,-4.426666667,-47.72083333
KOKNI,-8.116166667,-49.45766667
NF139,-26.78071944,-48.68785556
RJ943,-22.95655556,-43.05245278
ESIMI,-11.40193333,-50.570375
CP020,-21.63629722,-41.231175
ITBAX,-28.61075278,-50.12588611
MECHI,-22.04450833,-48.99245278
UBGIS,-29.88103333,-50.87463611
EGUXU,-26.89471389,-48.87518333
AX369,-19.47433333,-47.17158333
ESPEB,-22.02112778,-41.08308333
UBGED,-25.28177222,-49.97500833
VOVNO,-22.52915833,-40.30711111
CP007,-21.58811389,-41.17650833
GR252,-22.86808889,-46.84182222
CB012,-22.9015,-41.97133333
SN372,-2.407166667,-54.7
OPVUL,-5.597330556,-50.71691111
DO031,-22.18921389,-54.939025
DOMKU,-24.11741111,-46.17106389
BUTRU,-22.69901389,-40.63770833
QI002,1.685675,-61.20449444
LOGAV,-12.94477778,-38.50330556
VUNLI,-22.277,-43.61633333
MOMDA,-21.17960556,-45.01524444
SIBUS,-9.314338889,-55.05940278
USESO,-14.84972222,-46.79155556
DIKIT,-13.02661667,-38.39930278
DODPU,-19.41923056,-53.12986667
UA017,-0.114333333,-66.95198333
OPSID,-22.86448703,-43.04016322
NT371,-6.017194444,-35.03644444
BILUX,-5.819,-26.22933333
RJ910,-22.91436111,-43.12362222
ANPUM,-10.90821111,-48.63475556
NT394,-5.953472222,-34.97522222
ISIXU,-3.0595,-44.23483333
NILBO,-13.67389722,-45.36216944
UMSIL,-19.8515,-57.42233333
CBO03,-9.3436,-54.91738611
RB001,-9.9045,-68.12483333
ISNEP,-3.386475,-59.98008889
UMPED,-21.12127778,-50.84044722
VRI23,-20.25182222,-40.28091667
USVOL,-17.54364722,-43.19940833
DIGOR,0.666666667,-28.66666667
IT011,-18.49214167,-49.19805
CXI27,-22.77760833,-43.18154167
JU029,-7.151147222,-39.45031667
RJ314,-23.33703889,-43.26972778
ESLOT,-26.23276389,-49.55083611
ESKUM,-24.23505278,-52.39344167
NEBUG,-5.970833333,-35.46966667
ES012,-22.72016667,-42.19946111
GR303,-23.36186389,-46.21095278
ILKUP,-2.741333333,-60.3465
EGOBU,-22.30555833,-51.316625
SP129,-23.6766,-46.62190556
ERVAM,-0.518113889,-66.72922778
JV011,-26.117875,-48.86804167
NF158,-27.51603889,-49.49105
DAMSI,-7.371658333,-51.00511667
FLN04,-27.56562222,-48.73784167
ILTAT,-11.00358056,-37.15368333
KP162,-23.26848889,-47.41966389
LUVDI,-23.49330556,-46.80604722
CF046,-19.91116667,-43.59766667
ATNAS,-20.16783333,-55.304
VG002,-21.53116944,-45.4494
MINUX,-22.04298244,-43.76824264
OPTOX,-2.936463889,-60.7131
KOVKO,-11.105,-65.3155
ISLIB,-12.41473889,-56.80785556
CITRA,-10.68966667,-67.71233333
BI061,-25.4532,-49.18062778
ISASI,-27.57953889,-48.71194167
JV303,-26.19644444,-48.83608333
ESMAR,-5.747833333,-56.86766667
KOPKO,-16.19128889,-49.45213889
CW014,-2.329788889,-44.25805278
SURDO,-23.15847778,-43.99526944
JU368,-7.381166667,-39.1065
CZ023,-7.442838889,-72.77434444
TOMID,-21.9215,-40.90783333
NEVPO,-20.44558719,-40.35941519
RF003,-8.330166667,-34.962
JU372,-7.251333333,-39.184
TCA58,-23.5818,-46.6875
VUDUT,-6.070016667,-35.07907222
MUKEL,-15.86726944,-48.02262778
MN022,-3.037466667,-60.47123333
UTBOM,-22.64216667,-43.52033333
MS011,-5.286102778,-37.403175
KP127,-23.20354722,-46.98719722
IGAPO,-5.602833333,-61.82533333
BRAKE,-20.62416667,-53.9795
EKAXU,-19.92483333,-40.91016667
KP171,-23.00387778,-47.31670278
GRD01,-20.370125,-54.71981111
RODIX,-22.58248261,-41.45122838
PV017,-8.7202,-63.90298889
CB002,-23.05833333,-42.27566667
CW016,-2.229411111,-44.25324444
KOXEK,-4.441333333,-65.27616667
